nama_das,nama_ws_induk,luas_das_km2
WAE BATULAMIN SAKOKA,WS AMBON-SERAM,27.76
WAE WALALA NAMANA,WS AMBON-SERAM,27.75
WAE HARURU,WS AMBON-SERAM,26.68
WAE ENGGLAS,WS AMBON-SERAM,25.44
WAE MOU WUTIN,WS AMBON-SERAM,25.38
WAE KARA SALA,WS AMBON-SERAM,25.9
WAE MORORUWAIN,WS AMBON-SERAM,24.82
WAE NAWEO,WS AMBON-SERAM,24.74
WAE ONE,WS AMBON-SERAM,24.61
WAE TAPINALU,WS AMBON-SERAM,24.45
WAE LATA LAFA,WS AMBON-SERAM,24.34
WAE WAAI,WS AMBON-SERAM,24.19
WAE RUTILEP,WS AMBON-SERAM,22.93
WAE LALAN,WS AMBON-SERAM,23.79
WAE BATUKABIRA,WS AMBON-SERAM,24.83
